model	dataset	trained	restarts	bs	target_id	optim	cost_fn	tv	psnr_mean	mse_mean	ssim_mean	psnr_std	mse_std	ssim_std
resnet	imagenet	random	10	8	0	GC	sim	0.0001	10.243868363613455	0.09511551	0.19190476893429753	0.4712106962091406	0.010820578	0.017814053436162283

lenet	mnist	random	1	1	0	LBFGS	sim	0.0001	10.208097146105029	0.09532137	0.36518829711688844	0.0	0.0	0.0
lenet	mnist	random	1	4	0	LBFGS	sim	0.0001	15.646103036156351	0.02881179	0.0026682845915342456	1.5484551496575882	0.008400708	0.020840787223740814
lenet	mnist	random	1	2	0	LBFGS	sim	0.0001	13.966202416880616	0.04025577	0.23528543277921732	0.354886838921753	0.0032822266	0.013723090865628479
lenet	mnist	random	1	8	0	LBFGS	sim	0.0001	12.68043665693995	0.05441898	0.03680115189274972	0.5680336649903721	0.00735002	0.036630546109890146
lenet	mnist	random	1	2	0	LBFGS	sim	0.0001	14.218714458351656	0.03785889	0.22119168139364442	0.05844631010971035	0.0005094651	0.008171996124527
lenet	mnist	random	1	4	0	LBFGS	sim	0.0001	13.89996930548426	0.04211183	-0.008553090250902756	1.1708669848527256	0.009887158	0.02440283536679836
lenet	mnist	random	1	8	0	LBFGS	sim	0.0001	11.771400761708144	0.06805197	0.019608625400583005	0.9274947975384904	0.014830129	0.0268715136925744
lenet	mnist	random	1	1	0	LBFGS	sim	0.0001	13.158193461760757	0.04832598	0.4549489466046283	0.0	0.0	0.0
lenet	mnist	random	1	32	0	LBFGS	sim	0.0001	12.456533799994482	0.062029034	0.022974095158474837	1.6920290036007788	0.030737031	0.021398573589111198
lenet	mnist	random	1	16	0	LBFGS	sim	0.0001	12.780037391777139	0.055579837	-0.004322350576733011	1.437431487880851	0.01804142	0.02302041252601461
lenet	mnist	random	1	64	0	LBFGS	sim	0.0001	10.644239262601042	0.0920704	0.0028748331014660402	1.6086921990449072	0.032765754	0.013897395258436319
lenet	mnist	random	1	128	0	LBFGS	sim	0.0001	10.578783642979182	0.09977711	0.002407487497949582	2.1969872161377535	0.055261776	0.015178967657566902
