model	dataset	trained	restarts	bs	target_id	optim	cost_fn	tv	psnr_mean	mse_mean	ssim_mean	psnr_std	mse_std	ssim_std
alexnet	cifar10	random	10	128	0	GC	sim	0.0001	16.589198137117503	0.02649975	-0.05442788392171165	2.582993551650272	0.018166589	0.07816872544654932
alexnet	cifar10	random	10	1	0	LBFGS	sim	0.0001	40.368551992946124	9.186388e-05	0.9987028061681323	0.0	0.0	0.0
alexnet	cifar10	random	10	2	0	LBFGS	sim	0.0001	50.740542946215164	8.442559e-06	0.058282380705131795	0.2142840650443958	4.1622434e-07	0.00018774916953892204
alexnet	cifar10	random	10	4	0	LBFGS	sim	0.0001	58.774835536225126	1.3556405e-06	0.08232052410193622	0.9190133332968157	2.834276e-07	0.03801929708906758
alexnet	cifar10	random	10	8	0	LBFGS	sim	0.0001	48.93915957685958	1.3954284e-05	-0.05720957557742673	1.7151251217456964	6.749708e-06	0.07699086421801347
alexnet	cifar10	random	10	16	0	LBFGS	sim	0.0001	31.743351415342943	0.011352572	-0.12650800847289895	4.475727008188002	0.0113778515	0.1556709195252456
alexnet	cifar10	random	10	32	0	LBFGS	sim	0.0001	30.87897150254271	0.0011428441	-0.11537845754710968	3.5994060386625213	0.0009872088	0.14458979535468242
alexnet	cifar10	random	10	64	0	LBFGS	sim	0.0001	25.710259372257507	0.031033654	-0.08908247063930172	2.4657352667806447	0.016286507	0.1073772103052535
alexnet	cifar10	random	10	128	0	LBFGS	sim	0.0001	23.148311698264283	0.051148348	-0.052360552612370825	1.4605946385071167	0.016779086	0.09366039020180168
alexnet	cifar10	random	1	1	0	LBFGS	sim	0.0001	17.084949436322855	0.019566135	0.724342928280433	0.0	0.0	0.0
alexnet	cifar10	random	1	2	0	LBFGS	sim	0.0001	16.77623753760805	0.021482017	0.5640382062786699	0.9212577395982464	0.0044897823	0.09188445704491136
alexnet	cifar10	random	1	4	0	LBFGS	sim	0.0001	15.126738592345475	0.032076523	0.5590346837230027	1.2640744705413038	0.009694041	0.055233878704409864
alexnet	cifar10	random	1	8	0	LBFGS	sim	0.0001	13.649830324707253	0.043856416	0.44111850828189436	0.7993172546415244	0.0075421985	0.08613322434540838
